iter	Passed	Remaining
0	41	41300
1	86	43354
2	136	45433
3	187	46663
4	247	49257
5	296	49136
6	347	49344
7	402	49932
8	470	51825
9	526	52085
10	574	51687
11	626	51584
12	680	51659
13	730	51476
14	779	51213
15	829	51044
16	880	50934
17	929	50690
18	990	51146
19	1042	51075
20	1091	50896
21	1141	50756
22	1188	50474
23	1234	50214
24	1278	49850
25	1325	49652
26	1374	49544
27	1423	49423
28	1472	49305
29	1520	49161
30	1561	48821
31	1610	48712
32	1656	48543
33	1704	48440
34	1752	48317
35	1794	48065
36	1839	47880
37	1887	47785
38	1937	47741
39	1987	47690
40	2039	47709
41	2087	47619
42	2134	47505
43	2176	47291
44	2220	47133
45	2269	47057
46	2312	46884
47	2362	46862
48	2405	46684
49	2454	46637
50	2506	46638
51	2553	46557
52	2604	46528
53	2652	46471
54	2697	46346
55	2743	46254
56	2788	46131
57	2860	46459
58	2942	46928
59	3023	47372
60	3080	47415
61	3168	47931
62	3247	48293
63	3318	48536
64	3399	48903
65	3481	49273
66	3562	49606
67	3621	49641
68	3694	49847
69	3762	49988
70	3826	50065
71	3893	50182
72	3959	50275
73	4014	50230
74	4074	50253
75	4128	50190
76	4192	50253
77	4254	50295
78	4322	50395
79	4388	50467
80	4460	50604
81	4544	50874
82	4631	51175
83	4708	51348
84	4790	51569
85	4862	51680
86	4938	51826
87	4994	51762
88	5050	51695
89	5112	51696
90	5164	51591
91	5215	51469
92	5268	51378
93	5322	51302
94	5372	51180
95	5425	51086
96	5470	50922
97	5515	50766
98	5566	50657
99	5620	50581
100	5715	50877
101	5845	51463
102	5912	51490
103	5976	51491
104	6025	51363
105	6083	51306
106	6125	51119
107	6167	50937
108	6215	50808
109	6260	50650
110	6313	50563
111	6359	50424
112	6407	50295
113	6448	50115
114	6497	50000
115	6544	49877
116	6595	49772
117	6641	49642
118	6693	49551
119	6739	49420
120	6778	49242
121	6828	49146
122	6874	49013
123	6926	48931
124	6972	48809
125	7016	48669
126	7065	48568
127	7110	48441
128	7161	48352
129	7215	48285
130	7270	48226
131	7322	48154
132	7367	48028
133	7418	47943
134	7459	47796
135	7507	47695
136	7553	47581
137	7602	47490
138	7654	47411
139	7700	47303
140	7741	47160
141	7785	47039
142	7834	46950
143	7874	46809
144	7914	46668
145	7962	46574
146	8006	46458
147	8047	46325
148	8093	46225
149	8136	46107
150	8185	46021
151	8229	45910
152	8276	45816
153	8329	45758
154	8375	45661
155	8420	45555
156	8465	45452
157	8513	45367
158	8562	45291
159	8612	45215
160	8652	45090
161	8699	45002
162	8745	44907
163	8785	44785
164	8835	44715
165	8883	44631
166	8933	44558
167	8980	44473
168	9029	44400
169	9075	44310
170	9122	44223
171	9173	44163
172	9215	44054
173	9258	43951
174	9305	43867
175	9345	43756
176	9393	43679
177	9444	43613
178	9488	43518
179	9538	43451
180	9582	43360
181	9627	43270
182	9670	43174
183	9721	43112
184	9762	43008
185	9808	42924
186	9855	42848
187	9902	42772
188	9947	42686
189	9993	42605
190	10041	42530
191	10087	42450
192	10136	42382
193	10190	42339
194	10238	42268
195	10280	42170
196	10324	42085
197	10368	41999
198	10417	41931
199	10455	41821
200	10501	41743
201	10544	41656
202	10586	41562
203	10638	41511
204	10683	41431
205	10729	41354
206	10772	41268
207	10824	41217
208	10871	41145
209	10931	41123
210	11001	41136
211	11187	41582
212	11249	41564
213	11320	41578
214	11366	41501
215	11417	41442
216	11475	41407
217	11519	41323
218	11575	41280
219	11622	41206
220	11663	41112
221	11713	41049
222	11761	40980
223	11803	40891
224	11846	40806
225	11892	40729
226	11939	40656
227	11982	40573
228	12029	40501
229	12073	40420
230	12113	40326
231	12157	40245
232	12207	40186
233	12260	40136
234	12320	40108
235	12374	40061
236	12425	40001
237	12475	39942
238	12522	39871
239	12565	39789
240	12610	39714
241	12652	39631
242	12701	39568
243	12752	39512
244	12793	39425
245	12838	39350
246	12888	39290
247	12951	39271
248	13025	39285
249	13100	39301
